序號,測站,監測日期,監測時間,測站氣壓(hPa),溫度(℃),相對溼度(%),風向,風速(m/s),降水量(mm),日照時數(小時)
1,高雄,2019/02/28,23:02:00,"1,015.9",22.6,75,北,3.5,0,-
2,高雄,2019/02/28,22:02:00,"1,015.8",23.2,73,北,3.2,0,-
3,高雄,2019/02/28,21:02:00,"1,015.8",23.8,74,北,3.8,0,-
4,高雄,2019/02/28,20:02:00,"1,015.3",24.9,70,北北東,2.5,0,-
5,高雄,2019/02/28,19:02:00,"1,014.5",25,73,北北西,1.8,0,0
6,高雄,2019/02/28,18:02:00,"1,013.8",25.8,68,北北西,2.9,0,0.6
7,高雄,2019/02/28,17:02:00,"1,013.4",27,65,北北西,3.5,0,1
8,高雄,2019/02/28,16:02:00,"1,012.5",28,64,西北,3.2,0,1
9,高雄,2019/02/28,15:02:00,"1,012.3",28.3,63,西北,3.6,0,1
10,高雄,2019/02/28,14:02:00,"1,012.6",28.5,65,西北,4.9,0,1
11,高雄,2019/02/28,13:02:00,"1,013.4",29.3,61,西北,4.1,0,1
12,高雄,2019/02/28,12:02:00,"1,014",28.7,60,西北,3.6,0,1
13,高雄,2019/02/28,11:02:00,"1,014.4",28.4,59,西北西,3.2,0,0.9
14,高雄,2019/02/28,10:02:00,"1,014.4",27.9,57,北,0.4,0,0.5
15,高雄,2019/02/28,09:02:00,"1,014.5",26.6,62,北,2.9,0,1
16,高雄,2019/02/28,08:02:00,"1,014.4",24.5,67,北北東,1.9,0,0.1
17,高雄,2019/02/28,07:02:00,"1,014.4",23.9,68,北北東,2.2,0,0
18,高雄,2019/02/28,06:02:00,"1,014.1",23.6,70,北北東,2.6,0,0
19,高雄,2019/02/28,05:02:00,"1,013.9",23.7,70,北,2.3,0,-
20,高雄,2019/02/28,04:02:00,"1,013.8",23.8,70,北,3.2,0,-
21,高雄,2019/02/28,03:02:00,"1,013.7",23.3,71,北,1.5,0,-
22,高雄,2019/02/28,02:02:00,"1,014.1",23.5,69,北北東,1.9,0,-
23,高雄,2019/02/28,01:02:00,"1,014.8",23.6,68,北,3.2,0,-
24,高雄,2019/02/28,00:02:00,"1,015.9",22.2,77,北,3.7,0,-
25,高雄,2019/02/27,23:02:00,"1,014.7",24.3,72,北,1.8,0,-
26,高雄,2019/02/27,22:02:00,"1,015.1",24.5,74,北,1.9,0,-
27,高雄,2019/02/27,21:02:00,"1,015",24.8,72,西北西,1.4,0,-
28,高雄,2019/02/27,20:02:00,"1,014.3",24.8,72,西北,1.6,0,-
29,高雄,2019/02/27,19:02:00,"1,013.4",24.6,71,西,1.1,0,0
30,高雄,2019/02/27,18:02:00,"1,013.1",24.9,69,西北西,2.2,0,0
31,高雄,2019/02/27,17:02:00,"1,012.9",25.7,66,西北,3.6,0,0.9
32,高雄,2019/02/27,16:02:00,"1,012.5",26.9,62,西北西,2.7,0,1
33,高雄,2019/02/27,15:02:00,"1,012.6",27.3,59,西北西,2.7,0,1
34,高雄,2019/02/27,14:02:00,"1,013",28.4,57,西北,2.2,0,1
35,高雄,2019/02/27,13:02:00,"1,013.8",27.3,61,西北,2.7,0,1
36,高雄,2019/02/27,12:02:00,"1,014.8",26.6,64,西北西,3.8,0,1
37,高雄,2019/02/27,11:02:00,"1,015.9",26.2,65,西北西,2.7,0,1
38,高雄,2019/02/27,10:02:00,"1,016.7",26.1,65,北,2.2,0,1
39,高雄,2019/02/27,09:02:00,"1,016.4",23.7,72,北,2.8,0,1
40,高雄,2019/02/27,08:02:00,"1,016.7",21,80,北北東,2.6,0,0.8
41,高雄,2019/02/27,07:02:00,"1,016.6",20.3,81,北,3,0,0
42,高雄,2019/02/27,06:02:00,"1,015.9",20.6,79,北,1.6,0,0
43,高雄,2019/02/27,05:02:00,"1,015.3",20.5,80,北,2,0,-
44,高雄,2019/02/27,04:02:00,"1,015.3",20.6,80,北,2.5,0,-
45,高雄,2019/02/27,03:02:00,"1,015.8",20.8,79,北北東,3.1,0,-
46,高雄,2019/02/27,02:02:00,"1,016.2",21,78,北北東,2.5,0,-
47,高雄,2019/02/27,01:02:00,"1,016.3",21.1,79,北,3.2,0,-
48,高雄,2019/02/27,00:02:00,"1,015.1",23.8,69,北,2.8,0,-
49,高雄,2019/02/26,23:02:00,"1,017.2",21.9,79,北,3,0,-
50,高雄,2019/02/26,22:02:00,"1,016.8",22.7,77,北,3.2,0,-
51,高雄,2019/02/26,21:02:00,"1,016.8",23.7,75,北北西,2.8,0,-
52,高雄,2019/02/26,20:02:00,"1,016.2",23.8,72,西北西,2.2,0,-
53,高雄,2019/02/26,19:02:00,"1,015.9",23.8,71,西,1.8,0,0
54,高雄,2019/02/26,18:02:00,"1,015.7",24,67,西南西,1.8,0,0
55,高雄,2019/02/26,17:02:00,"1,015.8",24.8,66,西北西,2.3,0,0.9
56,高雄,2019/02/26,16:02:00,"1,015.3",25.6,64,西北,3.1,0,0.8
57,高雄,2019/02/26,15:02:00,"1,015.5",25.5,64,西北,2.9,0,1
58,高雄,2019/02/26,14:02:00,"1,016.1",26,64,西北,3.5,0,1
59,高雄,2019/02/26,13:02:00,"1,016.9",25.6,67,西北,4.1,0,1
60,高雄,2019/02/26,12:02:00,"1,017.7",25,70,西北,3.5,0,1
61,高雄,2019/02/26,11:02:00,"1,018",24.9,69,西北西,3.3,0,1
62,高雄,2019/02/26,10:02:00,"1,018.4",24.9,67,西,1.8,0,1
63,高雄,2019/02/26,09:02:00,"1,018.4",23.3,72,北北東,1.6,0,1
64,高雄,2019/02/26,08:02:00,"1,017.8",21.6,78,北北西,1.8,0,0.6
65,高雄,2019/02/26,07:02:00,"1,017.3",19.8,82,北北東,0.7,0,0
66,高雄,2019/02/26,06:02:00,"1,016.8",19.5,81,北北東,2,0,0
67,高雄,2019/02/26,05:02:00,"1,016.2",20,82,北,2.4,0,-
68,高雄,2019/02/26,04:02:00,"1,016",20.6,81,北,1.6,0,-
69,高雄,2019/02/26,03:02:00,"1,015.5",20.3,81,北北東,1.6,0,-
70,高雄,2019/02/26,02:02:00,"1,016.1",20.2,79,東,1.8,0,-
