序號,測站,監測日期,監測時間,測站氣壓(hPa),溫度(℃),相對溼度(%),風向,風速(m/s),降水量(mm),日照時數(小時)
1,臺中,2019/02/28,23:02:00,"1,006.8",20.1,78,西北,1,0,-
2,臺中,2019/02/28,22:02:00,"1,006.8",19.8,79,西北,1,0,-
3,臺中,2019/02/28,21:02:00,"1,006.6",20.3,78,北北西,0.9,0,-
4,臺中,2019/02/28,20:02:00,"1,006.1",20.9,76,西北,1.3,0,-
5,臺中,2019/02/28,19:02:00,"1,005.2",21.1,75,北,2.9,0,0
6,臺中,2019/02/28,18:02:00,"1,004.7",22.9,69,北,1.6,0,0.3
7,臺中,2019/02/28,17:02:00,"1,004.3",24.2,66,北北西,1.6,0,0.7
8,臺中,2019/02/28,16:02:00,"1,003.5",25.1,64,北,1.4,0,0.6
9,臺中,2019/02/28,15:02:00,"1,003.4",25.3,63,北北西,3.1,0,0.8
10,臺中,2019/02/28,14:02:00,"1,003.5",25.8,63,西北,2.3,0,1
11,臺中,2019/02/28,13:02:00,"1,004.1",25.9,63,北北西,2.8,0,0.8
12,臺中,2019/02/28,12:02:00,"1,005",26.1,62,北,2.8,0,1
13,臺中,2019/02/28,11:02:00,"1,005.4",26,65,西北,2.1,0,0.9
14,臺中,2019/02/28,10:02:00,"1,005.3",25.9,64,西南西,0.5,0,1
15,臺中,2019/02/28,09:02:00,"1,005.1",23.6,74,東北東,0.3,0,1
16,臺中,2019/02/28,08:02:00,"1,005.1",20.9,85,靜風,0.1,0,0.6
17,臺中,2019/02/28,07:02:00,"1,005.3",19.6,87,靜風,0.1,0,0
18,臺中,2019/02/28,06:02:00,"1,005",19.5,85,靜風,0.2,0,0
19,臺中,2019/02/28,05:02:00,"1,004.9",20.4,82,北北西,1.1,0,-
20,臺中,2019/02/28,04:02:00,"1,005",20.6,85,北,1.9,0,-
21,臺中,2019/02/28,03:02:00,"1,005.1",20.6,78,北,1.7,0,-
22,臺中,2019/02/28,02:02:00,"1,004.7",19.5,82,靜風,0.1,0,-
23,臺中,2019/02/28,01:02:00,"1,005.2",19.8,80,靜風,0.1,0,-
24,臺中,2019/02/28,00:02:00,"1,006.6",19.9,78,西北西,0.7,0,-
25,臺中,2019/02/27,23:02:00,"1,006.2",20.3,76,東北,0.6,0,-
26,臺中,2019/02/27,22:02:00,"1,006",20.1,77,靜風,0.2,0,-
27,臺中,2019/02/27,21:02:00,"1,005.3",21,72,東北,0.3,0,-
28,臺中,2019/02/27,20:02:00,"1,005.2",21.3,71,東北,0.4,0,-
29,臺中,2019/02/27,19:02:00,"1,004.3",22.1,67,北,1.1,0,0
30,臺中,2019/02/27,18:02:00,"1,003.9",22.8,65,北北西,1.8,0,0.1
31,臺中,2019/02/27,17:02:00,"1,003",24.6,59,西南西,1.1,0,1
32,臺中,2019/02/27,16:02:00,"1,002.4",26.3,55,西,0.8,0,1
33,臺中,2019/02/27,15:02:00,"1,003.1",26.6,56,北,1.7,0,1
34,臺中,2019/02/27,14:02:00,"1,003.7",26.5,57,西北西,1.4,0,1
35,臺中,2019/02/27,13:02:00,"1,004.7",26.3,58,西北,1,0,1
36,臺中,2019/02/27,12:02:00,"1,005.9",25.2,62,北,1.2,0,1
37,臺中,2019/02/27,11:02:00,"1,007.1",24.4,65,北北西,1.7,0,1
38,臺中,2019/02/27,10:02:00,"1,007.9",22,74,北北西,2.1,0,0.5
39,臺中,2019/02/27,09:02:00,"1,008.1",21.2,78,北北西,0.9,0,0.4
40,臺中,2019/02/27,08:02:00,"1,008.3",19.7,82,西北西,0.5,0,0
41,臺中,2019/02/27,07:02:00,"1,007.7",18.4,86,北,1.8,0,0
42,臺中,2019/02/27,06:02:00,"1,007.1",18.4,85,北,1.9,0,0
43,臺中,2019/02/27,05:02:00,"1,006.7",18.4,84,北,1.5,0,-
44,臺中,2019/02/27,04:02:00,"1,006.3",19.1,81,北,1.4,0,-
45,臺中,2019/02/27,03:02:00,"1,006.9",19.3,82,西南,0.4,0,-
46,臺中,2019/02/27,02:02:00,"1,007.5",19.1,82,靜風,0,0,-
47,臺中,2019/02/27,01:02:00,"1,007.5",19.2,82,西南,0.6,0,-
48,臺中,2019/02/27,00:02:00,"1,006",20.4,77,靜風,0.2,0,-
49,臺中,2019/02/26,23:02:00,"1,007.3",18,86,南南東,0.3,0,-
50,臺中,2019/02/26,22:02:00,"1,007.4",18.7,82,北,1,0,-
51,臺中,2019/02/26,21:02:00,"1,007.1",18.7,82,北,1.4,0,-
52,臺中,2019/02/26,20:02:00,"1,006.6",19,80,北,2.2,0,-
53,臺中,2019/02/26,19:02:00,"1,005.8",19.8,78,北北西,1.5,0,0
54,臺中,2019/02/26,18:02:00,"1,005.3",20.9,74,西北,2.1,0,0.2
55,臺中,2019/02/26,17:02:00,"1,005",24,65,西北,1.8,0,1
56,臺中,2019/02/26,16:02:00,"1,005.1",26.4,53,南南西,1.4,0,1
57,臺中,2019/02/26,15:02:00,"1,005.2",26.6,57,東南東,0.8,0,1
58,臺中,2019/02/26,14:02:00,"1,006.2",26.4,58,北北西,1.3,0,1
59,臺中,2019/02/26,13:02:00,"1,007.4",24.7,62,北北西,2,0,0.4
60,臺中,2019/02/26,12:02:00,"1,008.3",23.7,65,北北西,1.6,0,0.6
61,臺中,2019/02/26,11:02:00,"1,009",22.2,68,北北西,1.6,0,0.1
62,臺中,2019/02/26,10:02:00,"1,009.2",21.8,71,西北,1.2,0,0.8
63,臺中,2019/02/26,09:02:00,"1,009.2",20,79,西南西,0.6,0,0.6
64,臺中,2019/02/26,08:02:00,"1,008.8",18.1,86,靜風,0.2,0,0.2
65,臺中,2019/02/26,07:02:00,"1,008.5",17,85,北,0.7,0,0
66,臺中,2019/02/26,06:02:00,"1,007.4",16.8,85,西北,0.9,0,0
67,臺中,2019/02/26,05:02:00,"1,007.3",17.1,86,西北,0.9,0,-
68,臺中,2019/02/26,04:02:00,"1,006.4",17,85,靜風,0.1,0,-
69,臺中,2019/02/26,03:02:00,"1,007.1",17.4,83,北,1.7,0,-
70,臺中,2019/02/26,02:02:00,"1,006.9",17.3,83,北,2,0,-
71,臺中,2019/02/26,01:02:00,"1,007.3",17.8,83,西北,0.6,0,-
72,臺中,2019/02/26,00:02:00,"1,007.4",18.6,84,靜風,0.1,0,-
73,臺中,2019/02/25,23:02:00,"1,008.3",18.1,82,西北西,1.1,0,-
74,臺中,2019/02/25,22:02:00,"1,007",18.3,81,西北,0.9,0,-
75,臺中,2019/02/25,21:02:00,"1,006.8",18.7,80,西北,0.9,0,-
76,臺中,2019/02/25,20:02:00,"1,006.8",19.3,77,西北,1.7,0,-
