序號,測站,監測日期,監測時間,測站氣壓(hPa),溫度(℃),相對溼度(%),風向,風速(m/s),降水量(mm),日照時數(小時)
1,臺北,2019/02/28,23:02:00,"1,015.5",17.6,79,東南東,2.5,0,-
2,臺北,2019/02/28,22:02:00,"1,015.6",17.5,79,東,3.3,0,-
3,臺北,2019/02/28,21:02:00,"1,015.8",17.5,80,東,3.1,0,-
4,臺北,2019/02/28,20:02:00,"1,015.3",17.7,78,東南東,3.1,0,-
5,臺北,2019/02/28,19:02:00,"1,014.2",17.8,78,東,3.7,0,0
6,臺北,2019/02/28,18:02:00,"1,014",17.9,78,東南東,2,0,0
7,臺北,2019/02/28,17:02:00,"1,013.4",17.8,77,東,4.3,0,0
8,臺北,2019/02/28,16:02:00,"1,012.8",18.1,76,東,3.3,0,0
9,臺北,2019/02/28,15:02:00,"1,012.7",18,77,東,4.5,0,0
10,臺北,2019/02/28,14:02:00,"1,012.4",18.2,76,東,5.5,0,0
11,臺北,2019/02/28,13:02:00,"1,012.9",18.8,77,東,3.8,0,0
12,臺北,2019/02/28,12:02:00,"1,013.1",19,77,東,4.6,0,0
13,臺北,2019/02/28,11:02:00,"1,013.3",19.4,78,東,4.3,0,0
14,臺北,2019/02/28,10:02:00,"1,013.2",19.9,78,東,3.3,0,0.1
15,臺北,2019/02/28,09:02:00,"1,012.4",20.7,78,東,2.3,0,0.1
16,臺北,2019/02/28,08:02:00,"1,012.6",19.3,81,東,3,0,0
17,臺北,2019/02/28,07:02:00,"1,012.2",19.2,82,東南東,1.8,0,0
18,臺北,2019/02/28,06:02:00,"1,012.6",19.4,82,東南東,1.2,0,0
19,臺北,2019/02/28,05:02:00,"1,012.3",19.4,82,西南,0.8,0,-
20,臺北,2019/02/28,04:02:00,"1,012",19.6,83,西,0.3,0,-
21,臺北,2019/02/28,03:02:00,"1,012.3",20.2,81,北北西,0.7,0,-
22,臺北,2019/02/28,02:02:00,"1,011.7",20.4,80,北北西,0.7,0,-
23,臺北,2019/02/28,01:02:00,"1,011.9",20.5,80,西北西,0.5,0,-
24,臺北,2019/02/28,00:02:00,"1,014.8",17.7,77,東南東,4.6,0,-
25,臺北,2019/02/27,23:02:00,"1,012.4",21,77,東南東,0.6,0,-
26,臺北,2019/02/27,22:02:00,"1,012.4",21.4,76,南,1.2,0,-
27,臺北,2019/02/27,21:02:00,"1,011.9",21.8,74,南南東,1,0,-
28,臺北,2019/02/27,20:02:00,"1,011.2",21.9,71,北,0.8,0,-
29,臺北,2019/02/27,19:02:00,"1,010.3",22.7,68,南南東,0.6,0,0
30,臺北,2019/02/27,18:02:00,"1,010.1",23.3,64,西,0.7,0,0
31,臺北,2019/02/27,17:02:00,"1,009.6",23.9,61,南南西,0.4,0,0
32,臺北,2019/02/27,16:02:00,"1,009.1",24.4,59,西南,1.2,0,0.8
33,臺北,2019/02/27,15:02:00,"1,009.7",25,61,西南,1.6,0,1
34,臺北,2019/02/27,14:02:00,"1,010.3",24.3,66,南,0.6,0,0.2
35,臺北,2019/02/27,13:02:00,"1,011.6",23,69,西南,0.5,0,0
36,臺北,2019/02/27,12:02:00,"1,013.1",21.9,73,西北西,1.2,0,0
37,臺北,2019/02/27,11:02:00,"1,014.2",20.4,79,西南,0.9,0,0
38,臺北,2019/02/27,10:02:00,"1,015.1",19.6,81,西南,1.1,0,0
39,臺北,2019/02/27,09:02:00,"1,014.9",19,85,西南,0.7,0,0
40,臺北,2019/02/27,08:02:00,"1,014.8",18.3,88,西南西,0.5,0,0
41,臺北,2019/02/27,07:02:00,"1,014.6",17.8,89,靜風,0.2,0,0
42,臺北,2019/02/27,06:02:00,"1,014.1",17.4,87,東南東,0.8,0,0
43,臺北,2019/02/27,05:02:00,"1,013.6",18.1,82,西南,1.5,0,-
44,臺北,2019/02/27,04:02:00,"1,013.3",18.2,81,南南西,0.6,0,-
45,臺北,2019/02/27,03:02:00,"1,013.2",18.2,80,南,0.8,0,-
46,臺北,2019/02/27,02:02:00,"1,013.3",18.1,81,南南西,0.9,0,-
47,臺北,2019/02/27,01:02:00,"1,013.7",17.9,81,南南西,0.9,0,-
48,臺北,2019/02/27,00:02:00,"1,012",20.8,78,西南,0.6,0,-
49,臺北,2019/02/26,23:02:00,"1,013.9",18.3,77,東,1.8,0,-
50,臺北,2019/02/26,22:02:00,"1,014",18.5,76,東,2.9,0,-
51,臺北,2019/02/26,21:02:00,"1,013.8",18.6,75,東,5.1,0,-
52,臺北,2019/02/26,20:02:00,"1,013.4",18.4,75,東,3.8,0,-
53,臺北,2019/02/26,19:02:00,"1,012.9",18.3,74,東,5.3,0,0
54,臺北,2019/02/26,18:02:00,"1,012.7",18.4,72,東,4.1,0,0.2
55,臺北,2019/02/26,17:02:00,"1,013",18.6,70,東,6.3,0,1
56,臺北,2019/02/26,16:02:00,"1,013.1",19.5,69,東,5.5,0,1
57,臺北,2019/02/26,15:02:00,"1,013.7",20,68,東,4.9,0,0.4
58,臺北,2019/02/26,14:02:00,"1,014.4",19.3,70,東,5.5,0,0.1
59,臺北,2019/02/26,13:02:00,"1,015.7",18.8,70,東,4.3,0,0
60,臺北,2019/02/26,12:02:00,"1,016.6",18.6,71,東,5,0,0
61,臺北,2019/02/26,11:02:00,"1,017",18.5,73,東,5.1,0,0
62,臺北,2019/02/26,10:02:00,"1,017.2",18.3,76,東,6,0,0
63,臺北,2019/02/26,09:02:00,"1,017.2",17.8,78,東,4.1,0,0
64,臺北,2019/02/26,08:02:00,"1,017.1",17.5,78,東,5.1,0,0
65,臺北,2019/02/26,07:02:00,"1,016.7",17.3,77,東,3.4,0,0
