序號,測站,監測日期,監測時間,測站氣壓(hPa),溫度(℃),相對溼度(%),風向,風速(m/s),降水量(mm),日照時數(小時)
1,新屋,2019/02/28,23:02:00,"1,015.7",17.1,82,東北東,4.2,0,-
2,新屋,2019/02/28,22:02:00,"1,015.6",17.3,81,東北東,5,0,-
3,新屋,2019/02/28,21:02:00,"1,015.9",17.5,82,東北東,5.4,0,-
4,新屋,2019/02/28,20:02:00,"1,015.6",17.3,83,東北東,5.9,0,-
5,新屋,2019/02/28,19:02:00,"1,014.7",17.4,82,東北東,6.1,0,0
6,新屋,2019/02/28,18:02:00,"1,014.4",17.5,82,東北,7.2,0,0
7,新屋,2019/02/28,17:02:00,"1,014.1",17.6,83,東北,5.7,0,0
8,新屋,2019/02/28,16:02:00,"1,013.3",17.6,84,東北東,5.4,0,0
9,新屋,2019/02/28,15:02:00,"1,013.2",17.5,86,東北東,5.8,0,0
10,新屋,2019/02/28,14:02:00,"1,013.3",17.2,90,東北,7,0,0
11,新屋,2019/02/28,13:02:00,"1,014",17.1,89,東北,6.5,0,0
12,新屋,2019/02/28,12:02:00,"1,014.5",17.2,87,東北,6.7,0,0
13,新屋,2019/02/28,11:02:00,"1,014.6",18,84,北北東,5.8,0,0
14,新屋,2019/02/28,10:02:00,"1,014.3",18.7,83,東北,5.9,0,0
15,新屋,2019/02/28,09:02:00,"1,013.6",19.2,85,東北,3.9,0,0
16,新屋,2019/02/28,08:02:00,"1,013.3",18.8,88,東北東,3.3,0,0
17,新屋,2019/02/28,07:02:00,"1,013.2",18.4,89,東北東,3.2,0,0
18,新屋,2019/02/28,06:02:00,"1,013.4",18.2,89,東北東,3.9,0,0
19,新屋,2019/02/28,05:02:00,"1,013.3",17.9,91,東北東,2.6,0,-
20,新屋,2019/02/28,04:02:00,"1,013.5",17.9,90,東北,4.8,0,-
21,新屋,2019/02/28,03:02:00,"1,013.3",18,91,北北東,6.1,0,-
22,新屋,2019/02/28,02:02:00,"1,012.7",18.8,92,北北東,3.1,0,-
23,新屋,2019/02/28,01:02:00,"1,012.8",18.6,90,東北,2,0,-
24,新屋,2019/02/28,00:02:00,"1,015.1",16.9,82,東北東,3.5,0,-
25,新屋,2019/02/27,23:02:00,"1,013.3",18.9,90,北北東,1.2,0,-
26,新屋,2019/02/27,22:02:00,"1,013.5",18.6,91,北北西,1.2,0,-
27,新屋,2019/02/27,21:02:00,"1,012.7",18.2,89,靜風,0,0,-
28,新屋,2019/02/27,20:02:00,"1,012.2",18.7,86,東南東,0.8,0,-
29,新屋,2019/02/27,19:02:00,"1,011.4",18.9,85,靜風,0.2,0,0
30,新屋,2019/02/27,18:02:00,"1,011.4",20.5,77,西北,2.1,0,0.1
31,新屋,2019/02/27,17:02:00,"1,010.7",22.6,69,西北西,1.9,0,1
32,新屋,2019/02/27,16:02:00,"1,010.2",23.8,63,西,3.1,0,1
33,新屋,2019/02/27,15:02:00,"1,010.5",24.2,65,西南西,3.4,0,1
34,新屋,2019/02/27,14:02:00,"1,011.3",23.7,72,南南東,1.5,0,1
35,新屋,2019/02/27,13:02:00,"1,012.6",22.3,81,東,1.4,0,0.1
36,新屋,2019/02/27,12:02:00,"1,014.1",19.9,87,東北,1.1,0,0
37,新屋,2019/02/27,11:02:00,"1,015.3",18.7,88,東北,1.9,0,0
38,新屋,2019/02/27,10:02:00,"1,015.9",18.7,86,東北東,0.6,0,0
